Uccle
 50.8          4.35          105           1            Azimuth = 0   Elevation = 90

 m; dy; h; Ta; RH;G_Gh; FF; DD;RR;G_Gk;N
 1; 1; 1;10.5;83;0;2.5;263;1.1;0;8
 1; 1; 2;10.5;72;0;2.1;252;0.0;0;8
 1; 1; 3;10.3;78;0;1.8;249;0.1;0;8
 1; 1; 4;10.2;70;0;2.1;265;0.0;0;8
 1; 1; 5;10.1;69;0;2.0;263;0.0;0;8
 1; 1; 6;10.0;71;0;2.4;252;0.0;0;8
 1; 1; 7;9.9;70;0;2.0;276;0.0;0;8
 1; 1; 8;9.8;69;0;2.6;237;0.0;0;8
 1; 1; 9;9.8;71;0;2.4;259;0.0;0;8
 1; 1; 10;10.2;69;23;3.8;298;0.0;13;8
 1; 1; 11;10.8;62;58;3.2;230;0.0;39;8
 1; 1; 12;11.3;60;89;3.2;271;0.0;65;8
 1; 1; 13;11.8;59;112;3.6;280;0.0;92;8
 1; 1; 14;12.0;57;104;4.0;193;0.0;83;8
 1; 1; 15;12.1;57;78;3.4;235;0.0;57;8
 1; 1; 16;11.9;60;42;4.8;266;0.0;27;8
 1; 1; 17;11.5;78;2;3.6;126;0.3;0;8
 1; 1; 18;11.2;78;0;4.0;245;0.0;0;7
 1; 1; 19;10.9;78;0;3.4;232;0.0;0;7
 1; 1; 20;10.5;78;0;3.4;281;0.0;0;7
 1; 1; 21;10.2;78;0;3.6;294;0.0;0;7
 1; 1; 22;9.9;78;0;2.7;255;0.0;0;7
 1; 1; 23;9.5;78;0;2.2;265;0.0;0;6
 1; 1; 24;9.2;78;0;2.0;216;0.0;0;6
 1; 2; 1;8.6;78;0;2.1;247;0.0;0;6
 1; 2; 2;7.9;78;0;3.4;220;0.0;0;6
 1; 2; 3;7.2;78;0;4.6;280;0.0;0;6
 1; 2; 4;6.8;67;0;4.0;200;0.0;0;5
 1; 2; 5;6.4;69;0;5.0;232;0.0;0;5
 1; 2; 6;6.0;71;0;4.0;80;0.0;0;5
 1; 2; 7;5.7;71;0;4.6;232;0.0;0;5
 1; 2; 8;5.4;69;0;3.0;209;0.0;0;5
 1; 2; 9;5.4;67;0;3.4;264;0.0;0;4
 1; 2; 10;5.9;71;43;3.0;271;0.0;215;4
 1; 2; 11;6.6;69;110;3.4;237;0.0;351;4
 1; 2; 12;7.4;68;172;2.7;301;0.0;494;4
 1; 2; 13;7.9;66;187;3.8;266;0.0;484;5
 1; 2; 14;8.1;65;161;4.0;286;0.0;290;7
 1; 2; 15;8.0;68;119;3.0;240;0.0;219;7
 1; 2; 16;7.7;71;64;3.8;247;0.0;126;7
 1; 2; 17;7.0;75;2;3.2;246;0.0;0;7
 1; 2; 18;6.8;81;0;3.6;276;0.0;0;7
 1; 2; 19;6.5;75;0;2.5;287;0.0;0;7
 1; 2; 20;6.2;78;0;2.1;258;0.0;0;7
 1; 2; 21;6.0;87;0;1.7;243;0.0;0;7
 1; 2; 22;5.7;93;0;1.4;245;0.0;0;7
 1; 2; 23;5.4;90;0;1.0;222;0.0;0;7
 1; 2; 24;5.1;95;0;0.6;278;0.0;0;6
 1; 3; 1;5.1;98;0;0.5;299;0.0;0;6
 1; 3; 2;5.2;98;0;0.4;305;0.0;0;6
 1; 3; 3;5.3;93;0;0.7;302;0.0;0;6
 1; 3; 4;5.4;93;0;0.5;306;0.0;0;6
 1; 3; 5;5.5;93;0;0.5;309;0.0;0;6
 1; 3; 6;5.5;93;0;0.4;306;0.0;0;6
 1; 3; 7;5.6;100;0;0.6;308;0.0;0;6
 1; 3; 8;5.7;100;0;0.8;255;0.0;0;6
 1; 3; 9;5.8;100;0;0.9;261;0.0;0;6
 1; 3; 10;6.9;92;46;1.0;237;0.0;168;6
 1; 3; 11;7.9;80;91;1.7;238;0.0;181;6
 1; 3; 12;9.3;73;161;1.7;250;0.0;388;5
 1; 3; 13;10.6;68;219;2.1;270;0.0;663;1
 1; 3; 14;11.4;67;203;1.8;239;0.0;565;4
 1; 3; 15;12.1;63;213;1.4;280;0.0;675;3
 1; 3; 16;11.8;60;95;1.7;249;0.0;340;3
 1; 3; 17;10.9;64;6;2.6;277;0.0;0;3
 1; 3; 18;10.5;67;0;4.0;249;0.0;0;3
 1; 3; 19;10.1;71;0;4.0;75;0.0;0;4
 1; 3; 20;9.7;71;0;3.0;67;0.0;0;4
 1; 3; 21;9.3;75;0;3.0;239;0.0;0;4
 1; 3; 22;8.9;78;0;3.6;223;0.0;0;4
 1; 3; 23;8.5;80;0;3.4;220;0.0;0;5
 1; 3; 24;8.2;82;0;3.4;205;0.0;0;5
 1; 4; 1;7.5;78;0;3.4;233;0.0;0;5
 1; 4; 2;6.7;80;0;3.4;240;0.0;0;5
 1; 4; 3;6.0;79;0;4.0;212;0.0;0;6
 1; 4; 4;5.6;81;0;4.6;198;0.0;0;6
 1; 4; 5;5.2;86;0;5.7;77;0.0;0;6
 1; 4; 6;4.8;86;0;4.3;65;0.0;0;6
 1; 4; 7;4.4;87;0;3.2;213;0.0;0;7
 1; 4; 8;4.1;87;0;2.7;281;0.0;0;7
 1; 4; 9;4.1;87;0;2.9;273;0.0;0;7
 1; 4; 10;4.3;92;33;2.4;261;0.0;77;7
 1; 4; 11;4.6;90;76;2.6;274;0.0;97;8
 1; 4; 12;4.9;87;109;2.2;261;0.0;102;8
 1; 4; 13;5.1;88;117;3.0;262;0.0;100;8
 1; 4; 14;5.2;89;122;2.2;303;0.0;113;8
 1; 4; 15;5.2;86;99;1.9;257;0.0;118;8
 1; 4; 16;5.0;87;55;1.8;269;0.0;70;8
 1; 4; 17;4.6;84;2;2.0;267;0.0;0;8
 1; 4; 18;4.3;91;0;2.4;227;0.0;0;8
 1; 4; 19;4.1;99;0;2.5;265;0.0;0;8
 1; 4; 20;3.8;98;0;2.7;245;0.0;0;8
 1; 4; 21;3.5;100;0;2.1;259;0.0;0;8
 1; 4; 22;3.3;100;0;2.6;272;0.1;0;8
 1; 4; 23;3.0;100;0;2.5;277;0.0;0;8
 1; 4; 24;2.6;96;0;2.5;256;0.7;0;8
 1; 5; 1;2.8;96;0;3.8;244;0.3;0;8
 1; 5; 2;2.8;95;0;4.6;219;0.5;0;8
 1; 5; 3;2.9;95;0;3.8;52;0.8;0;8
 1; 5; 4;2.6;97;0;3.2;231;2.2;0;8
 1; 5; 5;3.1;91;0;4.8;285;0.2;0;8
 1; 5; 6;3.2;97;0;4.0;133;0.1;0;8
 1; 5; 7;3.3;97;0;4.8;235;0.0;0;8
 1; 5; 8;3.3;95;0;3.6;136;0.0;0;8
 1; 5; 9;3.3;91;0;3.4;277;0.1;0;8
 1; 5; 10;3.6;93;8;2.9;280;0.0;0;8
 1; 5; 11;3.9;87;22;2.5;265;0.0;7;8
 1; 5; 12;4.3;86;36;2.4;245;0.0;15;8
 1; 5; 13;4.6;76;42;2.2;257;0.0;18;8
 1; 5; 14;4.8;77;42;2.9;264;0.0;19;8
 1; 5; 15;4.8;75;31;2.7;259;0.0;12;8
 1; 5; 16;4.8;75;19;2.7;273;0.0;6;8
 1; 5; 17;4.6;72;2;3.6;281;0.0;0;8
 1; 5; 18;4.5;68;0;4.6;236;0.0;0;7
 1; 5; 19;4.4;66;0;4.6;208;0.0;0;7
 1; 5; 20;4.3;66;0;3.0;207;0.0;0;7
 1; 5; 21;4.2;68;0;4.3;254;0.0;0;7
 1; 5; 22;4.1;67;0;4.6;239;0.0;0;6
 1; 5; 23;4.0;64;0;4.0;215;0.0;0;6
 1; 5; 24;3.9;64;0;4.3;213;0.0;0;6
 1; 6; 1;3.3;59;0;5.7;228;0.0;0;6
 1; 6; 2;2.6;58;0;6.1;60;0.0;0;5
 1; 6; 3;1.9;58;0;6.1;91;0.0;0;5
 1; 6; 4;1.6;59;0;5.9;94;0.0;0;5
 1; 6; 5;1.2;62;0;5.7;73;0.0;0;5
 1; 6; 6;0.8;59;0;5.4;57;0.0;0;4
 1; 6; 7;0.5;61;0;5.7;169;0.0;0;4
 1; 6; 8;0.2;60;0;5.7;93;0.0;0;4
 1; 6; 9;0.1;68;0;5.2;54;0.0;0;4
 1; 6; 10;0.8;66;47;4.0;205;0.0;203;3
 1; 6; 11;1.6;63;118;4.3;304;0.0;388;3
 1; 6; 12;2.5;59;183;5.0;306;0.0;537;3
 1; 6; 13;3.1;61;209;6.1;249;0.0;546;4
 1; 6; 14;3.5;68;202;6.6;75;0.0;563;3
 1; 6; 15;3.5;67;139;6.8;91;0.0;344;5
 1; 6; 16;3.0;67;72;6.3;73;0.0;183;7
 1; 6; 17;2.3;71;2;4.8;64;0.0;0;7
 1; 6; 18;2.2;69;0;2.9;255;0.0;0;7
 1; 6; 19;2.0;71;0;2.9;266;0.0;0;7
 1; 6; 20;1.9;74;0;2.2;260;0.0;0;7
 1; 6; 21;1.8;76;0;2.5;258;0.0;0;7
 1; 6; 22;1.7;79;0;1.8;254;0.0;0;7
 1; 6; 23;1.6;76;0;1.8;243;0.0;0;7
 1; 6; 24;1.4;75;0;1.4;255;0.0;0;7
 1; 7; 1;1.6;72;0;1.4;256;0.0;0;7
 1; 7; 2;1.9;75;0;1.0;259;0.0;0;7
 1; 7; 3;2.1;76;0;1.1;264;0.0;0;7
 1; 7; 4;2.0;83;0;1.3;288;1.5;0;8
 1; 7; 5;1.8;88;0;1.4;228;3.2;0;8
 1; 7; 6;2.6;89;0;1.2;256;0.1;0;8
 1; 7; 7;2.7;89;0;0.9;263;0.0;0;8
 1; 7; 8;2.8;87;0;1.2;257;0.0;0;8
 1; 7; 9;2.8;89;0;1.1;225;0.0;0;8
 1; 7; 10;3.1;88;7;1.1;247;0.0;0;8
 1; 7; 11;3.5;87;18;1.2;227;0.1;5;8
 1; 7; 12;3.9;87;27;1.4;273;0.0;10;8
 1; 7; 13;4.2;86;29;1.0;237;0.0;11;8
 1; 7; 14;4.4;79;30;1.5;235;0.0;12;8
 1; 7; 15;4.5;79;24;1.6;266;0.1;8;8
 1; 7; 16;4.4;82;14;1.2;245;0.3;3;8
 1; 7; 17;4.2;83;2;1.4;260;0.4;0;8
 1; 7; 18;4.2;87;0;1.6;257;0.2;0;8
 1; 7; 19;4.1;93;0;1.9;236;0.7;0;8
 1; 7; 20;4.1;90;0;2.1;267;0.6;0;8
 1; 7; 21;4.0;87;0;2.0;268;1.0;0;8
 1; 7; 22;4.1;85;0;2.2;242;0.3;0;8
 1; 7; 23;4.1;84;0;2.2;262;0.1;0;8
 1; 7; 24;4.0;83;0;2.2;275;0.2;0;8
 1; 8; 1;3.5;82;0;1.9;285;0.3;0;8
 1; 8; 2;2.7;89;0;2.0;235;1.3;0;8
 1; 8; 3;2.4;84;0;2.2;279;0.1;0;8
 1; 8; 4;2.1;87;0;1.7;264;0.0;0;8
 1; 8; 5;1.8;94;0;1.3;236;0.0;0;8
