 mn7 import file
m	dy	h	G_Gh	Ta	Td
 1	 1	 1	0	10.5	6.6
 1	 1	 2	0	10.4	5.3
 1	 1	 3	0	10.2	4.7
 1	 1	 4	0	10.0	4.5
 1	 1	 5	0	9.9	4.2
 1	 1	 6	0	9.8	4.5
 1	 1	 7	0	9.7	4.2
 1	 1	 8	0	9.7	3.8
 1	 1	 9	0	9.7	4.2
 1	 1	 10	27	10.2	4.4
 1	 1	 11	66	10.8	3.2
 1	 1	 12	101	11.4	3.3
 1	 1	 13	128	11.9	3.4
 1	 1	 14	119	12.3	3.2
 1	 1	 15	89	12.4	3.4
 1	 1	 16	47	12.1	4.0
 1	 1	 17	2	11.7	4.3
 1	 1	 18	0	11.3	4.4
 1	 1	 19	0	11.0	4.0
 1	 1	 20	0	10.6	4.0
 1	 1	 21	0	10.2	3.8
 1	 1	 22	0	9.8	3.2
 1	 1	 23	0	9.5	1.7
 1	 1	 24	0	9.1	2.0
 1	 2	 1	0	8.6	1.5
 1	 2	 2	0	8.0	0.9
 1	 2	 3	0	7.4	1.0
 1	 2	 4	0	7.1	1.0
 1	 2	 5	0	6.8	1.2
 1	 2	 6	0	6.4	1.2
 1	 2	 7	0	6.2	1.0
 1	 2	 8	0	5.9	0.3
 1	 2	 9	0	5.8	-0.3
 1	 2	 10	27	6.1	1.4
 1	 2	 11	69	6.4	1.7
 1	 2	 12	107	6.8	2.4
 1	 2	 13	118	7.0	2.3
 1	 2	 14	104	7.1	2.4
 1	 2	 15	79	7.1	3.2
 1	 2	 16	43	6.8	3.6
 1	 2	 17	2	6.5	3.8
 1	 2	 18	0	6.4	4.7
 1	 2	 19	0	6.3	3.5
 1	 2	 20	0	6.3	3.9
 1	 2	 21	0	6.2	5.3
 1	 2	 22	0	6.2	6.1
 1	 2	 23	0	6.1	5.5
 1	 2	 24	0	5.9	5.2
 1	 3	 1	0	6.3	5.9
 1	 3	 2	0	6.5	5.8
 1	 3	 3	0	6.6	6.0
 1	 3	 4	0	6.6	6.2
 1	 3	 5	0	6.9	6.5
 1	 3	 6	0	7.3	6.9
 1	 3	 7	0	7.4	7.0
 1	 3	 8	0	7.5	7.1
 1	 3	 9	0	7.6	7.2
 1	 3	 10	5	7.8	7.1
 1	 3	 11	13	8.2	7.5
 1	 3	 12	18	8.5	7.8
 1	 3	 13	21	8.8	7.9
 1	 3	 14	20	9.0	8.3
 1	 3	 15	16	9.1	8.1
 1	 3	 16	9	9.1	7.3
 1	 3	 17	2	8.8	7.2
 1	 3	 18	0	8.8	7.5
 1	 3	 19	0	8.9	8.5
 1	 3	 20	0	8.9	7.7
 1	 3	 21	0	8.8	8.0
 1	 3	 22	0	8.4	8.0
 1	 3	 23	0	8.6	8.2
 1	 3	 24	0	7.8	7.6
 1	 4	 1	0	8.3	6.1
 1	 4	 2	0	7.6	5.7
 1	 4	 3	0	6.9	5.6
 1	 4	 4	0	6.2	5.4
 1	 4	 5	0	6.3	5.2
 1	 4	 6	0	6.0	4.8
 1	 4	 7	0	5.8	5.3
 1	 4	 8	0	5.5	5.1
 1	 4	 9	0	5.3	4.0
 1	 4	 10	5	5.1	4.7
 1	 4	 11	12	4.8	4.1
 1	 4	 12	18	4.5	3.9
 1	 4	 13	20	4.3	3.6
 1	 4	 14	19	4.0	3.4
 1	 4	 15	18	3.9	3.2
 1	 4	 16	10	4.8	4.1
 1	 4	 17	2	4.9	3.3
 1	 4	 18	0	4.5	3.9
 1	 4	 19	0	4.2	3.5
 1	 4	 20	0	3.9	3.2
 1	 4	 21	0	3.5	2.9
 1	 4	 22	0	3.2	2.5
 1	 4	 23	0	2.8	2.2
 1	 4	 24	0	2.5	1.8
 1	 5	 1	0	2.2	1.6
 1	 5	 2	0	2.0	1.0
 1	 5	 3	0	1.7	0.9
 1	 5	 4	0	1.6	0.4
 1	 5	 5	0	1.5	0.2
 1	 5	 6	0	1.4	0.6
 1	 5	 7	0	1.3	-0.3
 1	 5	 8	0	1.3	-0.5
 1	 5	 9	0	1.3	-0.2
 1	 5	 10	56	2.4	-0.3
 1	 5	 11	132	3.8	0.0
 1	 5	 12	208	5.3	0.4
 1	 5	 13	255	6.5	-0.2
 1	 5	 14	243	7.3	0.5
 1	 5	 15	203	7.6	0.1
 1	 5	 16	110	7.3	0.3
 1	 5	 17	9	6.2	-0.5
 1	 5	 18	0	5.8	-1.2
 1	 5	 19	0	5.4	-1.5
 1	 5	 20	0	5.0	-1.5
 1	 5	 21	0	4.6	-1.1
 1	 5	 22	0	4.2	-1.3
 1	 5	 23	0	3.8	-1.8
 1	 5	 24	0	3.4	-1.7
 1	 6	 1	0	2.9	-2.9
 1	 6	 2	0	2.4	-3.8
 1	 6	 3	0	2.0	-4.2
 1	 6	 4	0	1.7	-4.3
 1	 6	 5	0	1.4	-3.9
 1	 6	 6	0	1.2	-4.7
 1	 6	 7	0	1.0	-4.3
 1	 6	 8	0	0.8	-4.7
 1	 6	 9	0	0.8	-3.3
 1	 6	 10	50	1.6	-3.7
 1	 6	 11	144	3.0	-3.7
 1	 6	 12	231	4.5	-4.0
 1	 6	 13	271	5.6	-3.2
 1	 6	 14	209	6.0	-1.4
 1	 6	 15	182	6.1	-1.8
 1	 6	 16	97	5.7	-2.3
 1	 6	 17	12	4.7	-2.5
 1	 6	 18	0	4.4	-3.3
 1	 6	 19	0	4.0	-3.1
 1	 6	 20	0	3.6	-2.8
 1	 6	 21	0	3.2	-2.7
 1	 6	 22	0	2.8	-2.5
 1	 6	 23	0	2.5	-3.3
 1	 6	 24	0	2.1	-3.9
 1	 7	 1	0	1.8	-3.7
 1	 7	 2	0	1.5	-3.1
 1	 7	 3	0	1.2	-2.9
 1	 7	 4	0	1.1	-3.8
 1	 7	 5	0	1.0	-3.0
 1	 7	 6	0	0.8	-3.1
 1	 7	 7	0	0.8	-2.9
 1	 7	 8	0	0.7	-3.1
 1	 7	 9	0	0.7	-2.5
 1	 7	 10	61	1.9	-2.1
 1	 7	 11	155	3.5	-1.0
 1	 7	 12	239	5.1	-0.5
 1	 7	 13	273	6.4	0.6
 1	 7	 14	264	7.1	-0.4
 1	 7	 15	185	7.3	-0.2
 1	 7	 16	98	6.7	-0.5
 1	 7	 17	4	5.6	-0.4
 1	 7	 18	0	5.2	0.4
 1	 7	 19	0	4.9	1.4
 1	 7	 20	0	4.6	0.9
 1	 7	 21	0	4.3	0.5
 1	 7	 22	0	4.0	0.3
 1	 7	 23	0	3.7	0.2
 1	 7	 24	0	3.4	0.0
 1	 8	 1	0	3.1	-1.1
 1	 8	 2	0	2.7	-1.1
 1	 8	 3	0	2.4	-1.4
 1	 8	 4	0	2.2	-1.9
 1	 8	 5	0	2.0	-0.9
 1	 8	 6	0	1.8	-0.6
 1	 8	 7	0	1.7	-0.3
 1	 8	 8	0	1.6	-0.2
 1	 8	 9	0	1.5	-0.9
 1	 8	 10	29	2.0	-0.8
 1	 8	 11	81	2.7	-1.0
 1	 8	 12	118	3.4	-0.6
 1	 8	 13	154	4.0	-0.1
 1	 8	 14	136	4.3	0.7
 1	 8	 15	97	4.3	-0.1
 1	 8	 16	54	4.1	-0.5
 1	 8	 17	3	3.6	-0.6
 1	 8	 18	0	3.3	-0.6
 1	 8	 19	0	3.0	-1.4
 1	 8	 20	0	2.7	-1.6
 1	 8	 21	0	2.3	-0.5
 1	 8	 22	0	2.1	0.6
 1	 8	 23	0	1.8	1.1
 1	 8	 24	0	1.5	1.0
 1	 9	 1	0	1.3	0.9
 1	 9	 2	0	1.0	0.3
 1	 9	 3	0	0.8	0.4
 1	 9	 4	0	0.6	0.3
 1	 9	 5	0	0.5	0.1
