datum,uur,temp,rv,dampdruk,zonnestraling,regen_TB,wind_9m,wind_dir,wind_hor,wind_dir,wind_2m,wind_4m,wind_6m,regen_TB
01/01/2014,0,6.7,91.6,899.9,0.0001,0,3.0,,3.32,209.61,1.84,2.25,2.58,0
01/01/2014,1,7.0,91.8,918.6,0.0004,0,2.6,,2.89,213.16,1.51,1.86,2.15,0
01/01/2014,2,7.3,89.8,916.8,-0.0004,0,2.7,,3.01,217.43,1.56,1.94,2.22,0
01/01/2014,3,7.2,87.0,881.9,-0.0027,0,2.1,,2.45,218.82,1.21,1.51,1.75,0
01/01/2014,4,6.7,87.4,856.4,-0.0034,0,2.5,,2.93,202.21,1.54,1.88,2.18,0
01/01/2014,5,6.5,85.8,832.0,-0.0034,0,2.7,,3.05,200.11,1.64,2,2.3,0
01/01/2014,6,6.4,86.0,828.4,-0.0032,0,2.5,,3.07,195.47,1.59,1.97,2.28,0
01/01/2014,7,6.3,86.0,822.6,-0.0029,0,2.7,,3.37,192.38,1.8,2.14,2.46,0
01/01/2014,8,6.4,85.7,821.7,-0.001,0,3.0,,3.48,195.33,1.98,2.33,2.67,0
01/01/2014,9,6.7,84.0,824.3,0.0334,0,3.1,,3.65,192.5,2.12,2.51,2.84,0
01/01/2014,10,7.2,81.6,826.5,0.102,0,3.6,,4.23,193.1,2.5,2.96,3.34,0
01/01/2014,11,7.6,79.2,827.0,0.1126,0,4.1,,4.61,195.29,2.8,3.27,3.71,0
01/01/2014,12,8.2,77.3,842.8,0.1503,0,3.3,,3.97,189.09,2.42,2.8,3.15,0
01/01/2014,13,9.5,72.0,854.7,0.2318,0,4.0,,4.45,187.41,2.69,3.17,3.55,0
01/01/2014,14,9.6,72.7,868.2,0.0839,0,3.6,,4.15,182.32,2.49,2.85,3.21,0
01/01/2014,15,9.7,75.4,909.2,0.0569,0,3.5,,3.89,183.53,2.41,2.78,3.14,0
01/01/2014,16,10.0,75.3,925.2,0.0072,0,3.8,,4.35,182.62,2.69,3.08,3.43,0
01/01/2014,17,9.9,78.3,953.6,-0.0018,0,3.6,,4.35,187.37,2.82,3.22,3.6,0.1
01/01/2014,18,9.8,81.5,985.6,-0.0005,0.2,3.5,,3.91,181.16,2.53,2.87,3.18,0.2
01/01/2014,19,10.4,77.5,975.2,-0.0029,0,4.1,,4.78,181.69,3.06,3.5,3.9,0
01/01/2014,20,10.8,74.8,969.2,-0.0011,0,4.5,,5.06,184.07,3.28,3.78,4.18,0
01/01/2014,21,10.9,76.9,1000.3,-0.0003,0,4.7,,5.32,190.78,3.23,3.82,4.33,0.3
01/01/2014,22,10.4,82.3,1038.6,0.0011,0,4.4,,5.08,190.46,3.19,3.75,4.21,0.4
01/01/2014,23,10.3,84.5,1057.0,0.0009,0,4.5,,5.15,192.65,3.22,3.76,4.22,0.2
02/01/2014,0,10.4,83.5,1053.1,0.0008,0,4.3,,4.91,187.4,2.98,3.48,3.91,0
02/01/2014,1,11.0,78.5,1029.3,-0.0008,0,4.3,,4.91,192.99,3.08,3.63,4.1,0
02/01/2014,2,11.0,79.3,1042.6,-0.0005,0,4.6,,5.07,195.65,3.15,3.75,4.2,0
02/01/2014,3,11.0,80.6,1059.4,-0.0007,0,4.4,,4.93,194.02,3.05,3.61,4.01,0
02/01/2014,4,10.6,86.0,1095.7,-0.0022,0,4.3,,4.82,193.84,2.97,3.52,3.93,0.1
02/01/2014,5,10.6,85.0,1083.6,-0.0027,0,3.9,,4.43,196.71,2.61,3.14,3.56,0
02/01/2014,6,10.8,82.2,1066.5,-0.0023,0,3.7,,4.19,198.44,2.46,2.97,3.35,0
02/01/2014,7,10.9,77.3,1008.5,-0.0025,0,3.6,,4.01,198.83,2.3,2.8,3.19,0
02/01/2014,8,10.6,81.4,1040.7,0,0,3.1,,3.57,194.15,2.09,2.47,2.81,0.2
02/01/2014,9,9.6,94.4,1125.8,0.0095,1,2.7,,2.96,210.4,1.64,2,2.22,1
02/01/2014,10,9.8,91.4,1106.2,0.0341,0.4,4.0,,4.07,231.43,2.08,2.57,3.03,0
02/01/2014,11,10.3,83.2,1042.3,0.1245,0,4.2,,4.02,235.9,2.01,2.53,3.01,0
02/01/2014,12,10.2,79.7,994.1,0.1182,0,4.0,,3.81,238.46,1.87,2.37,2.77,0
02/01/2014,13,10.4,77.6,976.4,0.1039,0,3.7,,3.54,237.22,1.63,2.09,2.5,0.1
02/01/2014,14,10.2,79.1,986.5,0.0836,0,3.0,,3.1,231.56,1.49,1.88,2.23,0
02/01/2014,15,10.5,75.3,954.8,0.0688,0,3.2,,3.53,223.31,1.88,2.29,2.63,0
02/01/2014,16,10.1,76.9,950.3,0.0083,0,3.0,,3.27,221.24,1.72,2.11,2.42,0
02/01/2014,17,9.8,75.9,917.0,-0.0024,0,2.6,,2.95,216.11,1.47,1.83,2.14,0
02/01/2014,18,9.1,79.5,918.0,-0.0032,0,2.0,,2.44,204.04,1.2,1.52,1.73,0
02/01/2014,19,8.7,81.4,914.6,-0.0032,0,2.0,,2.46,202.76,1.16,1.48,1.75,0
02/01/2014,20,8.3,82.8,903.1,-0.0032,0,1.9,,2.36,203.72,1.08,1.41,1.62,0
02/01/2014,21,8.2,83.7,912.3,-0.003,0,2.3,,2.59,198.98,1.35,1.66,1.9,0
02/01/2014,22,8.3,84.7,926.2,-0.0029,0,2.1,,2.87,190.95,1.6,1.91,2.18,0
02/01/2014,23,8.2,85.9,936.8,-0.0028,0,1.6,,2.22,176.53,1.02,1.3,1.51,0
03/01/2014,0,8.3,87.1,950.7,-0.0024,0,1.8,,2.42,178.45,1.27,1.51,1.74,0
03/01/2014,1,8.5,87.4,970.9,-0.0017,0,2.1,,2.63,184.74,1.45,1.69,1.91,0
03/01/2014,2,9.2,86.7,1009.0,-0.0016,0,2.8,,3.51,190.1,2.07,2.45,2.73,0
03/01/2014,3,10.2,81.8,1018.4,-0.0018,0,3.4,,3.97,191.61,2.35,2.81,3.17,0
03/01/2014,4,10.3,81.9,1022.6,-0.0007,0,2.8,,3.38,181.85,1.93,2.27,2.58,0
03/01/2014,5,10.6,80.5,1026.8,-0.0008,0,3.0,,3.69,185.71,2.25,2.58,2.88,0.1
03/01/2014,6,10.1,85.9,1063.0,-0.0009,0.2,3.7,,4.28,192.16,2.5,2.95,3.35,0.3
03/01/2014,7,9.8,90.1,1094.6,-0.0004,0.2,3.7,,4.17,195.19,2.48,2.96,3.34,0
03/01/2014,8,10.3,86.9,1088.2,-0.0008,0,3.9,,4.14,205.66,2.43,2.96,3.34,0
03/01/2014,9,10.7,86.0,1103.3,0.0111,0,4.6,,4.83,208.73,2.84,3.45,3.88,0
03/01/2014,10,11.1,84.2,1110.4,0.0911,0,4.4,,4.74,208.5,2.83,3.41,3.87,0
03/01/2014,11,12.3,78.1,1113.3,0.1665,0,4.8,,4.82,215.73,2.87,3.48,3.92,0
03/01/2014,12,12.9,74.9,1113.4,0.1159,0,5.4,,5.63,216.23,3.4,4.14,4.62,0
03/01/2014,13,13.3,72.1,1102.1,0.1353,0,5.0,,5.13,217.56,2.98,3.64,4.1,0
03/01/2014,14,13.3,71.9,1098.3,0.0942,0,4.6,,4.7,214.79,2.73,3.34,3.78,0
03/01/2014,15,13.3,71.6,1096.0,0.0908,0,4.8,,5.06,207.82,3.02,3.67,4.12,0
03/01/2014,16,13.3,70.1,1067.7,0.0108,0,5.2,,5.53,202.3,3.36,4.02,4.52,0
03/01/2014,17,7.9,86.3,914.3,0.0004,4.4,4.8,,4.5,235.65,2.15,2.86,3.4,4.3
03/01/2014,18,6.8,92.5,914.0,-0.0014,0,2.6,,2.97,216.19,1.57,1.93,2.22,0
03/01/2014,19,8.2,84.8,922.0,-0.0016,0,3.5,,3.75,218.45,1.99,2.46,2.85,0
03/01/2014,20,9.5,72.1,857.1,-0.0032,0,4.4,,4.46,226.88,2.48,3,3.45,0
